Goal,Type,Penalty
12,,
43,,
91,,
71,,
94,,
89,,
95,OG,
4,,P
44,,
88,,
24,,
55,,
58,,
58,,P
80,OG,
62,,P
19,,
23,,
59,,
32,OG,
71,,P
56,,
35,,
20,,
50,,
65,,P
47,,
69,,
75,,
35,,P
11,,
91,,
39,,
6,,P
73,,
86,,
37,OG,
60,,
47,OG,
59,,
62,,
73,,P
4,,
23,,
54,,
7,,
38,,P
34,,
53,,
80,,
91,,
91,,
97,,
49,,
75,,
5,,
52,,
90,,
6,,P
16,,
48,,
90,,
18,,
93,,
93,,
26,,P
66,,
48,,
95,,
32,,
8,,
40,,
22,,P
46,,P
62,,
36,,
78,,
34,,
78,,
11,,
71,,
40,,
70,,
75,,
46,,P
95,,
22,,
10,,
23,OG,
90,,
45,,
93,,P
19,,
91,,
14,,
81,,
18,,
50,,
51,,P
14,,
86,,
76,,P
53,,
90,,
50,,
62,,P
74,OG,
92,,
96,,
31,,
88,,
56,,
93,OG,
36,,
68,,
74,,
59,,
51,,
33,OG,
51,,
66,,